"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5463",486,"I liked a @YouTube video https://t.co/qxE6Tldvg0 Joe Rogan on The Gun Control Protest March",FALSE,0,NA,"2018-03-15 06:34:13",FALSE,NA,974171892507729920,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Urza83",0,FALSE,FALSE,NA,NA
"5464",487,"@CaseyRuiz150 @HunterLaSalle I’m not gonna get into the gun control argument but regardless if they are banned or n… https://t.co/6JughzIDIx",FALSE,0,"CaseyRuiz150","2018-03-15 06:34:12",TRUE,974171451577196544,974171889680596992,1922049404,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RyanHerdt22",0,FALSE,FALSE,NA,NA
"5465",488,"Military School Warns Students Walking Out For Gun Control: You Will Be Arrested And Disciplined… https://t.co/Cn0U8DwCAv",FALSE,0,NA,"2018-03-15 06:34:08",TRUE,NA,974171872446304256,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NowMediaScott",0,FALSE,FALSE,NA,NA
"5466",489,"@realDonaldTrump Even Twitter is biased towards gun control lobby. Any tweet on stricter gun measures is not gettin… https://t.co/SNepM16a58",FALSE,0,"realDonaldTrump","2018-03-15 06:34:06",TRUE,974033924493111296,974171865777344512,25073877,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","benoydharmaraja",0,FALSE,FALSE,NA,NA
"5467",490,"Why hasn't leftist Obama taken care of gun control in the past 8/9 years?  #guns #guncontrol #secondammendment #Obama",FALSE,0,NA,"2018-03-15 06:34:03",FALSE,NA,974171854364528640,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SilvanaSparks",0,FALSE,FALSE,NA,NA
"5468",491,"Also, gun control isn’t banning your guns. We didn’t ask for a gun ban. We just think that no one needs an AR-15 or… https://t.co/U4xXQQyeK0",FALSE,1,"ripqnace","2018-03-15 06:34:03",TRUE,974171199876972544,974171854150680576,2286133352,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ripqnace",0,FALSE,FALSE,NA,NA
"5469",492,"Pollak: Five Lies About the Student 'Walkout' for Gun Control https://t.co/6J5WnBIQYa",FALSE,0,NA,"2018-03-15 06:33:50",FALSE,NA,974171799364751360,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MichaelJFell",0,FALSE,FALSE,NA,NA
"5470",493,"@Kevin_NSBA I saw your quote in WSJ and I disagree with your POV. Gun control is a safety issue, not political issu… https://t.co/UsR3UlmFbV",FALSE,0,"Kevin_NSBA","2018-03-15 06:33:43",TRUE,NA,974171770004455424,557217937,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","danielpmatthews",0,FALSE,FALSE,NA,NA
"5471",494,"""On March, 8 Pacific Grove Unified School District unanimously approved a resolution demanding stricter federal gun… https://t.co/O9TAfoH8NS",FALSE,0,NA,"2018-03-15 06:33:37",TRUE,NA,974171743613939712,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MariLynch",0,FALSE,FALSE,NA,NA
"5472",495,"@ellievhall Why, has Bernie decided to change his decades long opposition to gun control? #NeverAgain",FALSE,0,"ellievhall","2018-03-15 06:33:36",FALSE,973950887268900864,974171738744344576,15688781,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Jeff_McE",0,FALSE,FALSE,NA,NA
"5473",496,"“She’s a singer why doesn’t she stick to that” - Fox News on gun control celebrities https://t.co/e5g7eI37tt",FALSE,0,NA,"2018-03-15 06:33:30",FALSE,NA,974171712840458240,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","QuinTweets",0,FALSE,FALSE,NA,NA
"5474",497,"I say we make a law that makes it a felony to be under 21 and attempt to buy weapons that are already illegal...ill… https://t.co/lUu8zdxIrY",FALSE,0,NA,"2018-03-15 06:33:27",TRUE,NA,974171703340396544,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","scldrgnfly",0,FALSE,FALSE,NA,NA
"5475",498,"Kaya Jones goes off on gun control protesters in  fiery Twitter rant https://t.co/mhksRvLo5X",FALSE,0,NA,"2018-03-15 06:33:24",FALSE,NA,974171688928792576,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","craigdh",0,FALSE,FALSE,NA,NA
"5476",499,"@RTDPHOTOGRAPHY Lmao yea it’s not about me it’s about how my sister told me how some people only went to the rally… https://t.co/HAzXBAfSve",FALSE,1,"RTDPHOTOGRAPHY","2018-03-15 06:33:06",TRUE,974171205421821952,974171613812858880,883575212813438976,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bryanfocean",0,FALSE,FALSE,NA,NA
"5477",500,"Networks Celebrate Students Walking Out of Class for Gun Control https://t.co/ibxsNnV14s",FALSE,0,NA,"2018-03-15 06:32:50",FALSE,NA,974171546548887552,NA,"<a href=""http://matrixnewsllc.com"" rel=""nofollow"">Matrix News for iOS</a>","tucksnews",0,FALSE,FALSE,NA,NA
"5478",501,"The most gun control we've had is apple replacing the gun emoji with a water gun",FALSE,2,NA,"2018-03-15 06:32:50",FALSE,NA,974171544212660224,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bvnjvmvnn",0,FALSE,FALSE,NA,NA
"5479",502,"@SenJohnKennedy You absolute coward. You put the rights of animals above and beyond those of human beings. Where is… https://t.co/oQzy7q1Fm6",FALSE,0,"SenJohnKennedy","2018-03-15 06:32:36",TRUE,974034677416722432,974171485865734144,816683274076614656,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kerslark",0,FALSE,FALSE,NA,NA
"5480",503,"@Dumbarse66 @TheBobBanks @jn2626 @davidharsanyi @Liriosdelapaz It’s false equivalency because guns are not the same… https://t.co/BozF28BaaP",FALSE,0,"Dumbarse66","2018-03-15 06:32:33",TRUE,974158830513807360,974171474876608512,195192814,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wee_frumpy",0,FALSE,FALSE,NA,NA
"5481",504,"To every student teacher parent administrator supporter that walked out today to support Gun Control. I<U+FE0F> salute you.",FALSE,0,NA,"2018-03-15 06:32:32",FALSE,NA,974171469298061312,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","debalter",0,FALSE,FALSE,NA,NA
"5482",505,"@CNN Now if he cd just focus on that gun control bill...",FALSE,0,"CNN","2018-03-15 06:32:08",FALSE,974140910006079488,974171370274902016,759251,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Legaltwitwit",0,FALSE,FALSE,NA,NA
"5483",506,"@ConservGayGuy Easy, there's no gun control in America so unlike in other countries you need armed guards to protec… https://t.co/DO3o56vKkd",FALSE,0,"ConservGayGuy","2018-03-15 06:32:01",TRUE,974069420170596352,974171340432379904,722994185171816448,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UltimaRed",0,FALSE,FALSE,NA,NA
"5484",507,"@SpeakerRyan Oh, please. How about COMMON SENSE GUN CONTROL, you moron. How about BANNING ASSAULT RIFLES, you moron… https://t.co/0bhTr8kVSu",FALSE,0,"SpeakerRyan","2018-03-15 06:31:58",TRUE,974001098355826688,974171327396397056,18916432,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LJason25",0,FALSE,FALSE,NA,NA
"5485",508,"@SierraNMcCormic Proud of all the people in the walk cuz if there is gun control a lot of the shootings would stop!… https://t.co/jblVNclaeL",FALSE,0,"SierraNMcCormic","2018-03-15 06:31:52",TRUE,973990199079284736,974171301417021440,294914639,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","McCormickSierra",0,FALSE,FALSE,NA,NA
"5486",509,"Military School Warns Students Walking Out For Gun Control: You Will Be Arrested And Disciplined https://t.co/ihaUBtJVAf via @dailycaller",FALSE,0,NA,"2018-03-15 06:31:49",FALSE,NA,974171288364347392,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AimHighMC130E",0,FALSE,FALSE,NA,NA
"5487",510,"It's been awhile...Is now a good time to talk about gun control? guncontrol",FALSE,0,NA,"2018-03-15 06:31:48",FALSE,NA,974171288024637440,NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","guntalkok",0,FALSE,FALSE,NA,NA
"5488",511,"READ: Emails From High School Students Who Oppose Today's Massive Gun Control W https://t.co/ytPoDS7dP7 via @sharethis",FALSE,0,NA,"2018-03-15 06:31:37",FALSE,NA,974171242050834432,NA,"<a href=""http://sharethis.com"" rel=""nofollow"">ShareThis.com</a>","RobertEBez",0,FALSE,FALSE,NA,NA
"5489",512,"<ed><U+00A0><U+00BE><ed><U+00B4><U+009C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BE><ed><U+00B4><U+009C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BE><ed><U+00B4><U+009C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> to the US high school students on their walkouts. Something needs to be done. If gun control restricts owner… https://t.co/T6s00eash4",FALSE,0,NA,"2018-03-15 06:31:24",TRUE,NA,974171186396409856,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heyjudeysabel",0,FALSE,FALSE,NA,NA
"5490",513,"I guess when Tulsi keeps talking about ""overwhelming bipartisan support"" for gun control, the ""bi"" doesn't mean Dem… https://t.co/jDvQIFvKAV",FALSE,1,NA,"2018-03-15 06:31:23",TRUE,NA,974171183045165056,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeanOnAndLead",0,FALSE,FALSE,NA,NA
"5491",514,"@geoffmoz Agreed, however in my opinion, it’s hard to get behind the walkouts because they were encouraged by the t… https://t.co/KEQsXCHxrk",FALSE,0,"geoffmoz","2018-03-15 06:31:23",TRUE,974151802185805824,974171181887651840,924629034,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","skulborg21",0,FALSE,FALSE,NA,NA
"5492",515,"HOW MUCH LONGER ARE THESE HATE CRIMES GOING TO GO ON FOR?? HOW MUCH LONGER TILL WE HAVE SOME GUN CONTROL. NOWADAYS… https://t.co/47oeafhzs9",FALSE,0,NA,"2018-03-15 06:31:17",TRUE,NA,974171154943500288,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bangtanvalley",0,FALSE,FALSE,NA,NA
"5493",516,"@isabellajensenn Belle, not happy rn. This gun control shit has me livid plus someone's bullshit on top of it wanna hear about it?<ed><U+00A0><U+00BD><ed><U+00B8><U+0087><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,1,"isabellajensenn","2018-03-15 06:31:10",FALSE,974170841352044544,974171125109239808,2898142808,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","THirschbock",0,FALSE,FALSE,NA,NA
"5494",517,"@zack_johnston13 @FoundersInk @Liz_Wheeler @ChristiChat @CDCgov We can’t control every households child discipline… https://t.co/aBFHJDzMwO",FALSE,0,"beccaboo8u","2018-03-15 06:31:08",TRUE,974170810288975872,974171119761506304,830266063,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beccaboo8u",0,FALSE,FALSE,NA,NA
"5495",518,"School Spins National Walkout For Gun Control As Parkland Memorial: Parents across the country are being urged to l… https://t.co/P5j8qyzkzo",FALSE,0,NA,"2018-03-15 06:31:07",TRUE,NA,974171114556411904,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","TiggeritoTimes",0,FALSE,FALSE,NA,NA
"5496",519,"@wxdam This is Joe Kennedy.

https://t.co/cSiE3RKcgP

FFS you think he wouldn't put a gun control bill before Congr… https://t.co/KWXjSUbn0C",FALSE,0,"wxdam","2018-03-15 06:31:06",TRUE,974045292420091904,974171111922511872,87095316,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PracticalLefty",0,FALSE,FALSE,NA,NA
"5497",520,"It hurts to think that 17 people walked out of their homes that day and may not have gotten the chance to say ""good… https://t.co/RgfzmSd0lt",FALSE,0,"adbsmiles","2018-03-15 06:31:04",TRUE,974171098836160512,974171099977080832,3254208181,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adbsmiles",0,FALSE,FALSE,NA,NA
"5498",521,"gun control is about implementing a multi-step process in attempt to reduce harm. just like you (ideally) have to b… https://t.co/5TfBckOZeJ",FALSE,3,NA,"2018-03-15 06:30:47",TRUE,NA,974171029424631808,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","evanxmichelle",0,FALSE,FALSE,NA,NA
"5499",522,"Military School Warns Students Walking Out For Gun Control: You Will Be Arrested And Disciplined… https://t.co/7BKSFQlLO9",FALSE,0,NA,"2018-03-15 06:30:41",TRUE,NA,974171005982683136,NA,"<a href=""https://gab.ai"" rel=""nofollow"">Gab.ai</a>","AimHighMC130E",0,FALSE,FALSE,NA,NA
"5500",523,"@mlb0863 @KyleKashuv Car accidents and mass murder are 2 completely different things. Why does gun control work in other countries?",FALSE,0,"mlb0863","2018-03-15 06:30:40",FALSE,974170662213386240,974171001113071616,2993301395,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sonia_hawkss",0,FALSE,FALSE,NA,NA
"5501",524,"@MaxTheRipperHS @soulkhan @loisbeckett Highly likely these kids go through regular drills at school in case of a sh… https://t.co/Ph6iFOEaqI",FALSE,0,"MaxTheRipperHS","2018-03-15 06:30:40",TRUE,973929402428948480,974171000685281280,753137696873279488,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","50thand8th",0,FALSE,FALSE,NA,NA
"5502",525,"@Cameron_Gray So we're walking out of the classroom to protest gun control and we see signs about reparations?  <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>… https://t.co/uGKYobHWNp",FALSE,0,"Cameron_Gray","2018-03-15 06:30:33",TRUE,973945890590380032,974170969874067456,17983365,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GSauce111",0,FALSE,FALSE,NA,NA
"5503",526,"Gun control advocates  THINK they are morally superior, unfortunately they are intellectually challenged, morally r… https://t.co/uji65zPLvB",FALSE,2,NA,"2018-03-15 06:30:31",TRUE,NA,974170963167326208,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibsRNutz",0,FALSE,FALSE,NA,NA
"5504",527,"@Freek82951 @aztraveler1 @Givemea27610095 @Pearls0424 @PrisonPlanet only difference is we dont have gun control https://t.co/7WcZgpmVur",FALSE,0,"AntiGunMovement","2018-03-15 06:30:29",FALSE,974170668383330304,974170956703916032,717574004912037888,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AntiGunMovement",0,FALSE,FALSE,NA,NA
"5505",528,"On the one hand a kids program handling something like that can be important especially since gun control fight is… https://t.co/oFPFgvqHcA",FALSE,0,"thekingcowshow1","2018-03-15 06:30:24",TRUE,974168710444388352,974170935317221376,864268583181971456,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thekingcowshow1",0,FALSE,FALSE,NA,NA
"5506",529,"I liked a @YouTube video https://t.co/zQfFXzJrik Bernie Sanders Joins Student Walkout For Gun Control",FALSE,0,NA,"2018-03-15 06:30:22",FALSE,NA,974170926010060800,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","MistralKDawn",0,FALSE,FALSE,NA,NA
"5507",530,"I wouldn't care if all guns disappeared off tb earth. Got no problem doing shit gladiator style but when other ppl… https://t.co/g2jg1dl9ix",FALSE,0,NA,"2018-03-15 06:30:18",TRUE,NA,974170908217655296,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZiminiarOG",0,FALSE,FALSE,NA,NA
"5508",531,"@TheAtheist_Pope @NotaroMarylou @Education4Libs Criminals will still get illegal guns no matter how much gun control is in place.",FALSE,1,"TheAtheist_Pope","2018-03-15 06:30:08",FALSE,974026045551710208,974170868426436608,940927662729715712,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vargur1981",0,FALSE,FALSE,NA,NA
"5509",532,"But Ieyasu Tokugawa conducted blade regulation and gun control for 300 years.A gun craftsman has become a fireworks craftsman.",FALSE,0,NA,"2018-03-15 06:30:03",FALSE,NA,974170846007779328,NA,"<a href=""http://autotweety.net"" rel=""nofollow"">autotweety.net</a>","DaikitiK",0,FALSE,FALSE,NA,NA
"5510",533,"L.A. students join nationwide walkouts and actions to remember Parkland victims, push gun control - https://t.co/BBZa4oGsZj",FALSE,0,NA,"2018-03-15 06:30:02",FALSE,NA,974170840047738880,NA,"<a href=""http://www.cmsnice.com"" rel=""nofollow"">cmsnice updates</a>","cmsnice_com",0,FALSE,FALSE,NA,NA
"5511",534,"@gbpets Well, you probably would not agree with my take on gun control itself. There is no way any logical person c… https://t.co/KvojBKO9ZO",FALSE,0,"gbpets","2018-03-15 06:29:59",TRUE,974168750378201088,974170829305999360,39707003,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","hankschulman",0,FALSE,FALSE,NA,NA
"5512",535,"Students at Brooklyn rally vow to keep protesting gun violence after Florida shooting one month ago https://t.co/LdImuorqjM",FALSE,0,NA,"2018-03-15 06:29:56",FALSE,NA,974170816979066880,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","juliehinukeu",2,FALSE,FALSE,NA,NA
"5513",536,"@AndyRichter Don't try to diminish the student's motive. Gun control.",FALSE,0,"AndyRichter","2018-03-15 06:29:53",FALSE,974101713492762624,974170805612396544,165511377,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","barbarablount42",0,FALSE,FALSE,NA,NA
"5514",537,"Today I partially walked out for gun control, but it was mainly to respect the people that lost their lives and the… https://t.co/CAyY6FIgUe",FALSE,3,NA,"2018-03-15 06:29:50",TRUE,NA,974170789355315200,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Malena_joy89",0,FALSE,FALSE,NA,NA
"5515",538,"@realDonaldTrump Did you even listen to the students, you giant muppet? They want GUN CONTROL and they will be voting. Remember that.",FALSE,0,"realDonaldTrump","2018-03-15 06:29:38",FALSE,974033924493111296,974170741494243328,25073877,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Geekgirl163",0,FALSE,FALSE,NA,NA
"5516",539,"@SenBillNelson I’m very disappointed that deregulating Dodd-Frank is where you and your colleagues could find a pla… https://t.co/DfiR5Joz7m",FALSE,0,"SenBillNelson","2018-03-15 06:29:37",TRUE,NA,974170736007901184,20597460,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heynifer",0,FALSE,FALSE,NA,NA
"5517",540,"You should probably look at Bernie’s voting record on gun control https://t.co/3OHp7rEDr6",FALSE,0,NA,"2018-03-15 06:29:30",FALSE,NA,974170709176991744,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaytoddx",0,FALSE,FALSE,NA,NA
"5518",541,"Military School Warns Students Walking Out For Gun Control: You Will Be Arrested And Disciplined… https://t.co/z5ky8U6wjm",FALSE,47,NA,"2018-03-15 06:29:29",TRUE,NA,974170701161816064,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","DailyCaller",19,FALSE,FALSE,NA,NA
"5519",542,"@4bobharvey @Bo_Darville_GA @voxdotcom Vox literally just posted that the only effective gun control is one that co… https://t.co/epTkmL21bk",FALSE,0,"4bobharvey","2018-03-15 06:29:07",TRUE,974031262854893568,974170610963238912,2982521962,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Tucker_CK",0,FALSE,FALSE,NA,NA
"5520",543,"Weren’t y’all supposed to walk out in remembrance of the lives that were taken? 

It turned into gun control smh",FALSE,1,NA,"2018-03-15 06:29:06",FALSE,NA,974170607511154688,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","giannnamilller",0,FALSE,FALSE,NA,NA
"5521",544,"@wxdam @trintran What kind of sick monster would say this. I am all for gun control and I am also disgusted they've… https://t.co/zeoXfZlO09",FALSE,0,"wxdam","2018-03-15 06:28:53",TRUE,974045292420091904,974170550556872704,87095316,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bwdsword",0,FALSE,FALSE,NA,NA
"5522",545,"@rinnnrose @desssssttt @biglebowski24 @Robbbbbbbbbie_ @Hill3Christian Okay but building the wall has nothing to do… https://t.co/yHB6OpkhwQ",FALSE,0,"rinnnrose","2018-03-15 06:28:49",TRUE,973998063869050880,974170535922839552,809099946255187968,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marleyluvmc",0,FALSE,FALSE,NA,NA
